Date,Occupation,Ethnicity,Numerator,Denominator,Percentage
Apr 2015-Mar 2016,"Managers, directors & seniors",Black,!,26700,#VALUE!
Apr 2015-Mar 2016,Prof. occups.,Black,7200,26700,26.96629213
Apr 2015-Mar 2016,Associate prof. & tech. occups.,Black,2600,26700,9.737827715
Apr 2015-Mar 2016,Admin. & secretarial occups.,Black,!,26700,#VALUE!
Apr 2015-Mar 2016,Skilled trades occups.,Black,!,26700,#VALUE!
Apr 2015-Mar 2016,"Caring, leisure and other occs.",Black,7000,26700,26.21722846
Apr 2015-Mar 2016,Sales & consumer service occs.,Black,2200,26700,8.239700375
Apr 2015-Mar 2016,"Process, plant & mach. Opers",Black,2000,26700,7.490636704
Apr 2015-Mar 2016,Elementary occups.,Black,4100,26700,15.35580524
Jul 2015-Jun 2016,"Managers, directors & seniors",Black,!,25400,#VALUE!
Jul 2015-Jun 2016,Prof. occups.,Black,7100,25400,27.95275591
Jul 2015-Jun 2016,Associate prof. & tech. occups.,Black,1500,25400,5.905511811
Jul 2015-Jun 2016,Admin. & secretarial occups.,Black,1800,25400,7.086614173
Jul 2015-Jun 2016,Skilled trades occups.,Black,!,25400,#VALUE!
Jul 2015-Jun 2016,"Caring, leisure and other occs.",Black,5100,25400,20.07874016
Jul 2015-Jun 2016,Sales & consumer service occs.,Black,3100,25400,12.20472441
Jul 2015-Jun 2016,"Process, plant & mach. Opers",Black,1800,25400,7.086614173
Jul 2015-Jun 2016,Elementary occups.,Black,3700,25400,14.56692913
Oct 2015-Sep 2016,"Managers, directors & seniors",Black,!,20500,#VALUE!
Oct 2015-Sep 2016,Prof. occups.,Black,4000,20500,19.51219512
Oct 2015-Sep 2016,Associate prof. & tech. occups.,Black,!,20500,#VALUE!
Oct 2015-Sep 2016,Admin. & secretarial occups.,Black,1600,20500,7.804878049
Oct 2015-Sep 2016,Skilled trades occups.,Black,!,20500,#VALUE!
Oct 2015-Sep 2016,"Caring, leisure and other occs.",Black,3700,20500,18.04878049
